Table 1
,,,,,,,
,,,১০২ খুলনা-৪,,,,
,,,,,,,
,কেন্দ্র,মোট ভোটার,আব্দুস সালাম মূর্শেদী ,আজিজুল বারী হেলাল ,প্রদত্ত ভোট,শতকরা হার,
,,,নৌকা ,ধানের শীষ ,,,
,"98 02 নং আনন্দ নগর সরকারী প্রাথমিক বিদ্যালয়, আনন্দনগর, আজগড়া (পুরুষ ও মহিলা ভোটকেন্দ্র)",1624,1283,20,1401,86.27%,
,"99 ০১ নং আর,বি,আজগড়া সরকারী প্রাথমিক বিদ্যালয়, আজগড়া, তেরখাদা (পুরুষ ও মহিলা ভোটকেন্দ্র)",2469,2143,15,2186,88.54%,
,"100 আজগড়া আদর্শ সরকারী প্রাথমিক বিদ্যালয়, আজগড়া (পুরুষ ও মহিলা ভোটকেন্দ্র)",1660,1488,39,1551,93.43%,
,"101 শহিদপুর খান-এ সবুর মাধ্যমিক বিদ্যালয়, বারাসাত (পুরুষ ও মহিলা ভোটকেন্দ্র)",3116,2569,73,2675,85.85%,
,"102 ১৬ নং কালিনগর সীতারামপুর সরকারী প্রাথমিক বিদ্যালয়, কালীনগর, বারাসাত (পুরুষ ও মহিলা ভোটকেন্দ্র)",2830,2485,10,2496,88.20%,
,"103 ইখড়ি কাটেংগা ফজলুল হক মডেল মাধ্যমিক বিদ্যালয়, ইখড়ী,তেরখাদা (পুরুষ ও মহিলা ভোটকেন্দ্র)",3620,2550,74,2742,75.75%,
,"104 ১০নং পশ্চিম কাটেংগা সরকারী প্রাথমিক বিদ্যালয়, কাটেংগা, বারাসাত (পুরুষ ও মহিলা ভোটকেন্দ্র)",2105,1554,160,1792,85.13%,
,"105 পানতিতা শেখপাড়া সরকারী প্রাথমিক বিদ্যালয়, পানতিতা, বারাসাত (পুরুষ ও মহিলা ভোটকেন্দ্র)",1456,1162,10,1193,81.94%,
,"106 ০৮নং পূর্ব বারাসাত সরকারী প্রাথমিক বিদ্যালয়, বারাসাত (পুরুষ ও মহিলা ভোটকেন্দ্র)",2032,1523,29,1622,79.82%,
,"107 উত্তর খুলনা এস, এম, এ মজিদ স্মারক মাধ্যমিক বিদ্যালয়, বারাসাত,তেরখাদা (পুরুষ ও মহিলা ভোটকেন্দ্র)",2307,1660,22,1781,77.20%,
,"108 ২৭ নং উত্তর কুশলা সরকারী প্রাথমিক বিদ্যালয়, ছাগলাদাহ (পুরুষ ও মহিলা ভোটকেন্দ্র)",2112,1602,33,1667,78.93%,
,"109 ২৫নং দক্ষিন কুশলা সরকারী প্রাথমিক বিদ্যালয়, হিন্দু কুশলা, ছাগলাদাহ (পুরুষ ও মহিলা ভোটকেন্দ্র)",3046,2232,18,2295,75.34%,
,"110 ২২নং ইছামতি সরকারী প্রাথমিক বিদ্যালায়, ইছামতি, ছাগলাদাহ (পুরুষ ও মহিলা ভোটকেন্দ্র)",2897,2213,41,2317,79.98%,
,"111 ছাগলাদাহ ইউনিয়ন আদিলউদ্দিন মাধ্যমিক বিদ্যালয়, কোদলা, ছাগলাদাহ (পুরুষ ও মহিলা ভোটকেন্দ্র)",2204,1850,14,1879,85.25%,
,"112 20নং কুমিরডাংগা সরকারী প্রাথমিক বিদ্যালয়, কুমিরডাংগা,ছাগলাদাহ (পুরুষ ও মহিলা ভোটকেন্দ্র)",2230,1984,9,2017,90.45%,
,"113 18নং নেবুদিয়া জুনারী সরকারী প্রাথমিক বিদ্যালয়, নেবুদিয়া,ছাগলাদাহ (পুুরুষ ও মহিলা ভোটকেন্দ্র)",3267,2273,81,2475,75.76%,
